DEPARTAMENTO;MUNICIPIO;ZONA;PUESTO;NOMBRE PUESTO DE VOTACION;MESA;BARRIO;ESTRATO;URBANO/RURAL;MOVIMIENTO DE SALVACION NACIONAL;GENTE EN MOVIMIENTO;WILDER IBERSON ESCOBAR ORTIZ;JUAN CARLOS HENAO VALENCIA;CLAUDIA PATRICIA ECHEVERRY BEDOYA;JUANITA ESPELETA NOREÑA;TULIA ELENA HERNANDEZ BURBANO;PACTO HISTÓRICO Y VERDES;SANTIAGO OSORIO MARIN;DIANA MARCELA ALVAREZ VALENCIA;UBALDO GONZALEZ ARIAS;VICTOR HUGO ZULUAGA RAVE;ERIKA JOHANA SANCHEZ CARDONA;COAL. PARTIDOS CAMBIO RADICAL Y COLOMBIA JUSTA LIB RES;HECTOR ALBERTO GIRALDO QUINTERO;MILTON IVAN TIBADUIZA MARIN;GLADYS GALEANO MARTINEZ;PAULA ANDREA GARCIA DIAZ;MILTON GUTIERREZ NAVARRETE;PARTIDO CONSERVADOR COLOMBIANO;FELIX ALEJANDRO CHICA CORREA;LUISA FERNANDA BARRIGA FRANCO;JUANA CAROLINA LONDOÑO JARAMILLO;JORGE HERNAN YEPES ALZATE;PARTIDO CENTRO DEMOCRÁTICO;LUIS FERNANDO GOMEZ BETANCURT;JENNY VASCO MONTOYA;JESUS IVAN OSPINA ATEHORTUA;ANGELA MARIA ZULUAGA TREJOS;CRISTIAN JIOVANY VALENCIA GRISALES;COALICIÓN JUNTOS POR CALDAS;JUAN SEBASTIAN GOMEZ GONZALES;CLAUDIA LORENA PINILLA MARTINEZ;CAMILO SALAZAR RAMIREZ;GLORIA PATRICIA GIL BEDOYA;HUGO ALBERTO POVEDA CASTAÑEDA;"PARTIDO DE LA UNIÓN POR LA GENTE ""PARTIDO DE LA U""";MARINO MURILLO FRANCO;MARIA LUISA GONZALEZ GALVIS;HECTOR ARBEY OSORIO OCAMPO;YELILE AGUIRRE VALENCIA;JUAN FELIPE ALVAREZ CASTRO;PARTIDO LIBERAL COLOMBIANO;JOSE OCTAVIO CARDONA LEON;MARTHA LLANETH ALVAREZ SALAZAR;ANDRES FELIPE BETANCOURTH LOPEZ;JUAN CAMILO ALDANA MORALES;EVELIN PINEDA DIAZ;VOTOS EN BLANCO;VOTOS NULOS;VOTOS NO MARCADOS
CALDAS;AGUADAS;0;1;COLISEO CUBIERTO CAMBUMBIA;1;;;URBANO;0;0;12;0;0;0;1;0;5;1;0;0;0;0;0;0;0;0;0;7;9;2;1;2;7;9;0;0;0;0;0;3;2;0;0;0;1;3;0;1;0;2;8;8;2;18;0;1;3;8;10
CALDAS;AGUADAS;0;1;COLISEO CUBIERTO CAMBUMBIA;2;;;URBANO;0;2;14;0;1;0;0;3;10;2;0;0;0;0;0;1;0;2;0;5;7;4;13;3;11;4;0;3;0;0;3;7;8;1;0;1;0;7;0;0;0;2;5;12;7;33;0;0;8;28;10
CALDAS;AGUADAS;0;1;COLISEO CUBIERTO CAMBUMBIA;3;;;URBANO;0;1;10;0;1;0;0;4;4;1;1;1;0;0;2;0;0;1;0;8;6;1;1;4;5;5;0;6;0;1;0;7;7;2;0;0;2;4;1;1;0;2;5;14;5;30;1;2;4;25;20
CALDAS;AGUADAS;0;1;COLISEO CUBIERTO CAMBUMBIA;4;;;URBANO;0;0;6;2;0;0;0;5;5;1;1;0;2;0;0;0;0;0;0;4;7;3;3;3;10;9;0;5;0;1;2;9;3;2;0;0;0;3;1;1;0;0;6;9;3;23;0;0;7;21;18
CALDAS;AGUADAS;0;1;COLISEO CUBIERTO CAMBUMBIA;5;;;URBANO;0;1;9;0;2;0;0;5;3;1;0;0;0;0;1;0;0;1;1;2;4;2;5;1;2;1;1;3;0;1;2;6;13;1;1;0;2;9;0;0;0;1;5;8;4;20;2;2;5;15;12
CALDAS;AGUADAS;0;1;COLISEO CUBIERTO CAMBUMBIA;6;;;URBANO;2;1;15;1;0;0;0;3;2;1;2;0;0;0;0;0;2;2;1;2;4;1;3;2;6;4;1;1;1;0;6;9;2;2;0;0;2;2;1;0;0;1;3;5;8;31;0;1;11;21;11
CALDAS;AGUADAS;0;1;COLISEO CUBIERTO CAMBUMBIA;7;;;URBANO;0;0;10;0;2;0;0;2;4;2;0;0;0;0;1;0;0;4;0;5;6;2;5;3;2;4;0;1;1;0;0;7;5;2;0;0;0;7;1;2;0;1;9;11;1;26;0;0;7;7;13
CALDAS;AGUADAS;0;1;COLISEO CUBIERTO CAMBUMBIA;8;;;URBANO;0;2;18;0;0;0;1;3;7;0;3;0;1;0;1;0;0;5;1;3;8;6;4;4;7;3;1;5;1;2;2;10;2;2;1;0;3;2;0;0;0;2;5;18;5;33;3;1;9;15;10
CALDAS;AGUADAS;0;1;COLISEO CUBIERTO CAMBUMBIA;9;;;URBANO;1;2;20;0;4;1;0;2;2;0;1;0;0;0;2;0;1;2;0;4;11;5;4;5;6;11;0;0;2;0;2;11;11;2;0;1;1;4;0;0;0;3;3;15;3;40;0;0;4;32;12
CALDAS;AGUADAS;0;1;COLISEO CUBIERTO CAMBUMBIA;10;;;URBANO;0;0;10;0;1;1;1;3;3;1;0;0;0;0;1;1;0;4;0;6;10;3;7;8;5;4;0;2;0;0;1;13;12;7;0;1;1;7;0;0;0;3;4;11;7;39;0;0;10;33;11
CALDAS;AGUADAS;0;1;COLISEO CUBIERTO CAMBUMBIA;11;;;URBANO;0;2;15;0;0;1;0;3;9;2;0;0;1;0;0;1;0;2;1;8;7;3;5;6;6;6;1;2;0;0;2;8;5;2;0;0;2;6;0;0;0;7;6;7;9;42;0;1;3;29;13
CALDAS;AGUADAS;0;1;COLISEO CUBIERTO CAMBUMBIA;12;;;URBANO;0;0;17;0;0;2;0;5;5;0;1;0;1;1;0;0;1;1;0;1;6;6;3;4;5;5;0;4;0;0;2;11;5;2;1;0;0;8;0;0;0;1;5;10;10;25;2;1;15;17;8
CALDAS;AGUADAS;0;1;COLISEO CUBIERTO CAMBUMBIA;13;;;URBANO;0;1;4;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;3;0;2;0;0;0;1;0;0;0;3;2;0;0;0;0;1;0;0;0;0;0;1;1;3;0;0;4;0;0
CALDAS;AGUADAS;0;2;LICEO CLAUDINA MUNERA;1;;;URBANO;0;4;19;1;3;1;1;2;7;0;4;0;0;1;1;0;0;1;0;2;6;5;3;2;3;8;0;0;0;0;0;9;11;0;0;0;1;3;0;2;0;2;3;6;16;33;0;1;14;14;12
CALDAS;AGUADAS;0;2;LICEO CLAUDINA MUNERA;2;;;URBANO;0;1;16;0;1;0;0;3;4;0;2;0;0;0;0;0;1;3;1;1;7;1;5;3;2;5;2;1;0;4;2;7;6;5;0;0;2;5;0;1;0;0;7;6;12;22;0;3;6;22;0
CALDAS;AGUADAS;0;2;LICEO CLAUDINA MUNERA;3;;;URBANO;0;1;17;0;0;2;0;1;7;0;4;1;0;1;0;0;0;3;0;4;10;1;3;3;3;6;0;0;0;0;0;3;12;0;0;1;2;7;1;1;0;1;7;13;5;28;0;2;9;30;4
CALDAS;AGUADAS;0;2;LICEO CLAUDINA MUNERA;4;;;URBANO;0;1;18;0;0;0;0;4;2;0;0;2;1;0;1;0;1;2;1;4;9;8;6;4;0;3;0;1;0;0;0;7;13;2;0;0;0;6;0;0;0;2;2;9;14;25;0;3;16;24;9
CALDAS;AGUADAS;0;2;LICEO CLAUDINA MUNERA;5;;;URBANO;0;1;18;2;1;1;0;4;8;0;0;2;1;0;0;0;1;2;0;3;5;1;3;3;3;5;1;3;0;1;0;5;8;1;0;0;0;5;0;0;0;1;4;12;10;33;0;2;10;15;10
CALDAS;AGUADAS;0;2;LICEO CLAUDINA MUNERA;6;;;URBANO;0;1;14;0;1;0;0;1;3;0;2;0;0;0;4;0;0;2;2;4;7;3;3;6;4;3;1;0;0;0;1;11;1;1;0;1;0;9;0;2;0;2;3;12;14;26;0;0;12;3;6
CALDAS;AGUADAS;0;2;LICEO CLAUDINA MUNERA;7;;;URBANO;0;1;18;0;1;0;1;5;5;2;2;0;0;1;1;0;3;1;1;2;2;1;5;3;4;6;0;3;0;2;2;7;19;1;0;0;1;3;0;0;0;3;3;10;7;22;0;2;11;12;6
CALDAS;AGUADAS;0;2;LICEO CLAUDINA MUNERA;8;;;URBANO;0;0;9;0;1;1;0;7;3;2;1;0;2;0;1;0;2;5;3;1;5;4;3;4;3;6;1;2;0;0;2;7;14;1;0;0;2;5;0;1;0;5;3;5;6;29;2;0;12;15;11
CALDAS;AGUADAS;0;2;LICEO CLAUDINA MUNERA;9;;;URBANO;0;1;13;1;0;0;0;3;4;0;2;0;2;0;3;0;1;5;0;2;7;2;5;7;7;9;0;4;0;1;1;2;8;1;0;0;3;5;0;0;0;2;3;5;2;26;0;1;4;21;17
CALDAS;AGUADAS;0;2;LICEO CLAUDINA MUNERA;10;;;URBANO;0;3;14;1;1;2;0;0;6;0;0;0;2;0;0;1;2;0;0;4;7;1;3;10;4;4;3;2;1;0;1;7;5;1;0;1;3;2;0;0;1;1;13;9;10;17;2;1;12;17;11
CALDAS;AGUADAS;0;2;LICEO CLAUDINA MUNERA;11;;;URBANO;0;0;10;0;1;1;1;1;4;2;1;0;0;0;1;0;1;0;0;6;8;1;3;2;9;6;0;4;0;1;1;7;6;1;0;0;1;3;0;0;0;2;6;9;8;16;0;1;7;24;13
CALDAS;AGUADAS;0;2;LICEO CLAUDINA MUNERA;12;;;URBANO;0;2;15;2;1;0;0;2;4;2;1;1;0;0;1;0;1;5;2;4;7;4;2;4;4;5;0;0;1;1;1;14;4;2;0;0;0;3;1;0;0;1;6;2;8;23;0;1;7;23;12
CALDAS;AGUADAS;0;2;LICEO CLAUDINA MUNERA;13;;;URBANO;0;0;15;0;0;0;0;3;4;0;3;1;0;1;0;0;0;1;0;0;7;1;1;2;11;7;0;2;1;1;2;2;6;1;0;0;0;3;0;0;0;1;5;6;12;19;0;0;7;18;3
CALDAS;AGUADAS;0;2;LICEO CLAUDINA MUNERA;14;;;URBANO;2;0;12;2;1;1;0;0;3;0;3;0;0;2;2;0;0;2;0;4;7;2;3;2;2;5;1;3;1;0;0;8;7;1;0;0;0;3;0;1;1;1;2;4;5;21;0;2;8;14;3
CALDAS;AGUADAS;0;2;LICEO CLAUDINA MUNERA;15;;;URBANO;1;1;17;0;1;0;0;2;2;0;2;1;0;0;0;0;1;1;1;2;2;1;1;6;5;7;0;0;0;1;0;2;2;1;0;0;0;3;0;1;0;2;4;5;4;24;0;3;12;9;9
CALDAS;AGUADAS;0;2;LICEO CLAUDINA MUNERA;16;;;URBANO;0;0;21;0;0;0;0;7;7;1;0;0;2;0;0;0;0;3;4;0;4;1;2;1;4;7;0;3;0;1;1;5;6;3;1;1;1;3;0;0;0;0;2;8;6;18;1;3;10;6;3
CALDAS;AGUADAS;0;2;LICEO CLAUDINA MUNERA;17;;;URBANO;0;2;15;0;0;0;0;5;6;1;1;2;2;1;0;0;1;3;1;2;10;2;1;3;0;3;1;0;0;0;0;10;7;2;0;0;1;8;0;0;0;3;0;10;5;19;0;2;18;8;3
CALDAS;AGUADAS;0;2;LICEO CLAUDINA MUNERA;18;;;URBANO;1;0;10;1;1;0;0;5;3;0;1;0;1;1;1;0;0;2;1;1;7;4;2;3;2;3;0;3;0;0;0;8;6;4;0;1;0;7;0;0;0;2;0;8;5;21;0;4;21;9;5
CALDAS;AGUADAS;0;2;LICEO CLAUDINA MUNERA;19;;;URBANO;1;0;18;2;0;1;2;3;9;1;3;0;2;0;0;0;2;1;3;0;5;6;1;3;3;1;1;3;0;0;1;7;14;1;0;0;1;4;0;0;0;0;1;4;6;32;1;2;14;6;2
CALDAS;AGUADAS;0;2;LICEO CLAUDINA MUNERA;20;;;URBANO;0;0;20;2;2;1;0;1;3;1;0;1;1;0;0;0;1;1;1;0;3;2;7;2;0;3;1;2;0;2;1;3;3;1;0;0;2;1;0;1;0;0;1;11;10;27;0;0;16;11;7
CALDAS;AGUADAS;0;2;LICEO CLAUDINA MUNERA;21;;;URBANO;0;0;12;2;1;2;0;0;4;0;2;0;1;0;2;0;0;0;0;4;6;3;2;3;1;8;0;2;0;1;1;10;5;1;1;0;1;6;1;0;0;2;1;12;6;27;1;4;6;10;0
CALDAS;AGUADAS;0;2;LICEO CLAUDINA MUNERA;22;;;URBANO;0;0;12;1;1;1;0;3;2;1;0;0;1;0;0;0;0;1;1;0;4;0;3;8;5;4;1;2;0;0;1;5;5;0;0;0;0;1;1;2;0;1;1;9;6;26;1;3;15;13;0
CALDAS;AGUADAS;0;2;LICEO CLAUDINA MUNERA;23;;;URBANO;0;1;8;0;0;2;0;5;4;0;2;0;1;0;1;0;0;2;0;1;5;3;4;3;1;4;1;4;0;1;0;7;7;1;0;0;0;3;0;0;0;0;5;9;11;23;2;1;10;10;2
CALDAS;AGUADAS;0;2;LICEO CLAUDINA MUNERA;24;;;URBANO;0;0;20;2;1;0;0;3;5;1;0;0;0;0;1;0;0;1;1;1;3;4;3;1;1;1;0;2;0;1;0;6;2;0;0;1;0;4;0;1;0;1;2;10;11;25;1;1;23;6;0
CALDAS;AGUADAS;0;2;LICEO CLAUDINA MUNERA;25;;;URBANO;0;1;10;0;0;0;0;5;9;0;1;1;3;0;2;0;2;3;0;2;5;4;1;3;2;3;0;7;0;0;0;9;6;3;0;0;0;2;0;0;1;1;1;16;6;12;0;0;10;18;1
CALDAS;AGUADAS;0;2;LICEO CLAUDINA MUNERA;26;;;URBANO;0;0;18;0;0;0;0;1;7;1;2;0;0;0;0;0;0;3;0;0;3;3;1;3;1;3;0;0;0;1;1;5;8;4;0;0;0;3;0;0;1;2;1;8;6;24;1;0;10;11;3
CALDAS;AGUADAS;0;2;LICEO CLAUDINA MUNERA;27;;;URBANO;0;1;9;0;1;1;0;0;3;2;2;0;1;0;1;0;0;1;1;1;7;5;2;3;3;3;0;3;1;0;0;6;4;3;0;0;0;5;0;0;0;2;0;6;6;18;1;2;11;10;3
CALDAS;AGUADAS;0;2;LICEO CLAUDINA MUNERA;28;;;URBANO;1;0;10;1;1;1;0;3;5;0;3;1;3;2;1;0;0;1;1;0;2;2;0;3;1;2;0;3;0;0;0;4;7;2;0;0;0;3;0;0;0;2;2;9;8;26;0;0;12;12;1
CALDAS;AGUADAS;0;2;LICEO CLAUDINA MUNERA;29;;;URBANO;0;0;14;2;0;1;0;4;8;0;3;1;0;0;0;1;0;1;3;1;8;0;3;2;1;0;0;0;0;0;1;5;12;2;1;0;0;4;0;0;0;2;2;7;5;20;0;3;13;9;2
CALDAS;AGUADAS;99;1;ARMA;1;;;RURAL;0;0;27;1;0;0;0;2;12;3;2;0;0;0;2;0;1;0;0;4;4;1;3;0;1;5;0;3;0;1;1;4;0;0;0;1;0;1;0;0;0;0;6;5;1;22;0;3;7;14;15
CALDAS;AGUADAS;99;1;ARMA;2;;;RURAL;1;0;33;0;0;0;1;2;8;0;1;0;0;0;2;0;1;0;1;2;25;1;0;2;2;5;1;1;1;0;0;7;1;0;0;0;2;0;0;0;0;0;7;8;2;34;0;0;5;20;6
CALDAS;AGUADAS;99;1;ARMA;3;;;RURAL;0;0;31;0;0;0;1;2;2;0;0;1;10;0;1;0;1;0;0;4;25;2;1;0;3;0;0;0;0;0;0;9;2;0;0;0;0;3;0;0;0;0;6;5;1;19;0;0;5;15;9
CALDAS;AGUADAS;99;1;ARMA;4;;;RURAL;0;0;19;0;1;0;0;3;2;1;0;1;0;0;0;0;1;0;0;0;16;1;1;1;1;1;1;2;0;0;1;6;1;0;0;0;0;1;0;0;0;0;0;7;2;22;1;1;11;9;2
CALDAS;AGUADAS;99;1;ARMA;5;;;RURAL;0;11;0;0;0;0;0;0;1;0;2;0;1;0;0;0;0;0;0;1;8;0;1;0;0;2;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;8;0;0;5;3;0
CALDAS;AGUADAS;99;2;ENCIMADAS;1;;;RURAL;0;2;21;1;0;0;0;3;2;1;1;1;0;0;0;0;3;0;0;1;14;5;2;1;4;2;1;1;0;1;0;5;1;0;0;0;0;0;8;0;0;0;8;8;0;59;0;0;12;12;5
CALDAS;AGUADAS;99;2;ENCIMADAS;2;;;RURAL;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;1;2;0;12;0;0;4;1;0
CALDAS;AGUADAS;99;4;VIBORAL;1;;;RURAL;0;5;33;0;0;0;0;2;4;0;0;0;0;0;2;2;0;0;0;2;1;2;0;7;6;4;1;2;0;1;2;11;12;0;0;0;0;4;0;0;0;0;3;12;7;17;2;0;10;27;10
CALDAS;AGUADAS;99;4;VIBORAL;2;;;RURAL;0;2;28;0;0;0;0;2;3;0;1;0;0;0;1;0;0;0;0;7;3;0;1;1;2;2;0;0;0;0;1;11;1;0;0;1;0;2;0;0;0;0;3;7;10;0;0;0;0;0;0
CALDAS;AGUADAS;99;5;LA MERMITA;1;;;RURAL;0;5;22;0;0;0;0;1;2;0;0;0;0;0;0;0;4;0;0;0;18;0;0;4;2;4;2;0;0;2;0;29;5;7;0;0;0;24;0;0;4;0;0;4;3;40;0;4;4;17;14
CALDAS;AGUADAS;99;5;LA MERMITA;2;;;RURAL;0;0;15;0;0;0;0;0;2;0;0;0;0;0;2;0;2;2;0;0;11;0;0;1;0;0;0;0;0;0;0;26;0;4;3;1;1;11;0;0;0;0;2;5;5;23;0;0;4;13;1
CALDAS;AGUADAS;99;10;ALTO DE LA MONTAÑA;1;;;RURAL;1;0;3;0;1;0;0;5;4;0;0;1;1;0;1;0;0;1;1;1;3;4;4;6;2;2;0;1;0;0;0;1;3;1;0;0;0;6;0;1;0;0;2;14;2;26;0;0;2;25;5
CALDAS;AGUADAS;99;20;BOCAS;1;;;RURAL;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;8;0;1;1;3;0
CALDAS;AGUADAS;99;76;RIO ARRIBA;1;;;RURAL;0;1;12;0;2;0;0;2;3;1;0;1;1;0;0;0;1;5;0;2;4;0;2;1;5;2;0;1;0;0;0;6;2;1;1;0;2;7;0;0;0;0;5;0;2;36;0;0;5;15;19
CALDAS;AGUADAS;99;76;RIO ARRIBA;2;;;RURAL;0;1;5;0;1;0;0;0;2;0;0;0;1;0;0;0;0;1;0;3;2;0;0;0;1;3;1;0;0;0;0;5;0;0;0;0;0;2;1;0;0;0;2;0;1;27;2;0;8;8;1
CALDAS;AGUADAS;99;85;EL EDEN;1;;;RURAL;0;1;22;0;4;0;0;2;4;0;2;0;1;0;0;0;1;4;2;2;8;2;3;1;1;2;0;1;1;1;0;0;0;2;0;0;2;5;0;2;0;2;3;6;1;82;0;1;6;21;9
CALDAS;AGUADAS;99;85;EL EDEN;2;;;RURAL;0;0;9;0;0;0;0;0;2;0;0;0;1;1;0;0;0;0;0;0;1;3;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;2;8;0;0;1;1;1
CALDAS;ARANZAZU;0;0;PUESTO CABECERA MUNICIPAL;1;;;URBANO;0;1;28;1;0;1;0;3;9;1;0;0;0;1;4;1;0;0;0;6;20;0;4;16;6;1;0;5;0;0;1;20;1;0;1;0;2;2;0;0;0;0;1;2;1;0;0;0;1;21;3
CALDAS;ARANZAZU;0;0;PUESTO CABECERA MUNICIPAL;2;;;URBANO;0;1;39;0;3;0;0;6;12;0;3;1;1;0;14;0;0;0;1;8;30;1;4;11;8;4;1;12;0;0;2;23;1;0;0;0;1;2;1;0;0;0;0;4;0;0;0;0;4;39;13
CALDAS;ARANZAZU;0;0;PUESTO CABECERA MUNICIPAL;3;;;URBANO;0;1;23;1;1;0;1;1;12;0;0;0;0;0;9;0;0;1;0;7;23;2;1;15;3;2;1;8;0;0;2;16;7;0;0;0;0;3;0;1;0;0;1;3;2;0;0;0;6;41;16
CALDAS;ARANZAZU;0;0;PUESTO CABECERA MUNICIPAL;4;;;URBANO;1;1;24;0;0;0;0;1;11;0;0;2;0;0;14;1;1;0;0;3;21;1;1;14;0;6;0;5;0;1;0;21;3;0;0;0;0;1;0;0;0;1;2;6;0;1;0;0;7;28;8
CALDAS;ARANZAZU;0;0;PUESTO CABECERA MUNICIPAL;5;;;URBANO;1;3;37;0;0;1;0;4;14;0;2;0;0;0;6;0;1;1;0;4;24;1;2;9;1;5;0;9;0;0;0;20;3;0;1;0;1;2;0;0;1;0;0;5;0;0;0;0;7;21;11
CALDAS;ARANZAZU;0;0;PUESTO CABECERA MUNICIPAL;6;;;URBANO;0;0;32;0;2;1;0;4;9;0;0;0;1;0;8;0;0;2;0;5;24;3;3;6;1;2;0;9;0;1;1;15;6;0;0;0;4;0;0;0;0;1;0;3;2;1;0;0;6;17;11
CALDAS;ARANZAZU;0;0;PUESTO CABECERA MUNICIPAL;7;;;URBANO;0;0;24;1;1;0;3;3;9;0;0;0;0;0;7;0;0;0;0;2;15;2;3;9;4;3;0;6;0;0;1;14;3;0;0;0;2;4;0;0;0;0;1;5;0;0;0;0;6;24;6
CALDAS;ARANZAZU;0;0;PUESTO CABECERA MUNICIPAL;8;;;URBANO;1;0;10;0;0;0;0;3;8;1;0;0;0;0;7;0;0;0;1;1;18;2;4;3;2;4;0;1;0;0;2;9;3;0;1;0;1;3;0;0;2;0;0;5;1;2;0;0;7;26;3
CALDAS;ARANZAZU;0;0;PUESTO CABECERA MUNICIPAL;9;;;URBANO;0;0;14;0;0;0;1;1;6;0;0;1;1;3;8;1;0;0;0;2;16;0;1;6;4;3;0;1;0;0;1;16;1;1;0;0;1;2;0;0;0;1;1;2;1;1;0;0;6;12;4
CALDAS;ARANZAZU;0;0;PUESTO CABECERA MUNICIPAL;10;;;URBANO;0;2;24;0;1;1;0;0;12;0;0;0;1;0;3;2;0;1;0;2;23;0;2;6;1;4;0;7;0;0;0;17;2;0;0;0;0;3;0;0;0;0;1;8;0;2;0;0;7;16;5
CALDAS;ARANZAZU;0;0;PUESTO CABECERA MUNICIPAL;11;;;URBANO;0;3;51;0;0;1;0;1;3;0;0;0;0;0;13;0;0;0;0;4;45;4;2;19;1;2;0;13;0;0;1;10;1;0;0;0;0;4;0;0;0;2;0;5;2;0;0;0;3;15;8
CALDAS;ARANZAZU;0;0;PUESTO CABECERA MUNICIPAL;12;;;URBANO;0;2;44;2;0;0;1;4;14;0;1;1;1;0;13;0;0;0;0;4;50;4;3;9;1;2;0;8;1;1;0;18;4;1;0;0;0;6;0;0;0;1;0;11;1;0;0;0;5;17;10
CALDAS;ARANZAZU;0;0;PUESTO CABECERA MUNICIPAL;13;;;URBANO;0;1;36;1;2;2;0;4;7;1;3;1;0;0;9;0;0;2;1;2;38;4;4;15;2;0;1;12;0;0;2;18;2;1;0;0;1;0;1;0;0;0;0;4;1;2;0;0;1;36;11
CALDAS;ARANZAZU;0;0;PUESTO CABECERA MUNICIPAL;14;;;URBANO;0;1;41;1;2;0;0;3;13;0;1;0;1;1;7;1;0;2;1;6;30;3;4;17;1;4;0;6;0;1;0;17;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;12;18;4
CALDAS;ARANZAZU;0;0;PUESTO CABECERA MUNICIPAL;15;;;URBANO;0;1;31;1;1;0;0;6;10;0;0;0;0;1;8;0;0;0;1;4;34;3;4;10;0;2;0;12;0;0;1;20;4;0;1;1;1;4;1;1;0;1;2;4;1;0;0;0;14;22;5
CALDAS;ARANZAZU;0;0;PUESTO CABECERA MUNICIPAL;16;;;URBANO;0;1;31;0;1;1;0;1;8;0;0;1;0;0;15;0;0;0;0;3;26;5;2;9;0;3;0;5;1;0;1;17;5;0;0;0;1;2;0;0;0;1;1;6;2;2;0;0;6;24;3
CALDAS;ARANZAZU;0;0;PUESTO CABECERA MUNICIPAL;17;;;URBANO;0;1;41;0;1;0;0;2;6;1;0;0;1;1;11;0;0;0;0;5;15;3;0;12;0;1;0;8;0;0;0;10;6;0;0;0;1;1;0;1;0;1;0;5;0;1;0;0;6;24;3
CALDAS;ARANZAZU;0;0;PUESTO CABECERA MUNICIPAL;18;;;URBANO;0;0;22;2;0;0;0;3;10;1;0;0;0;0;10;0;1;0;0;2;30;1;1;15;1;1;0;6;0;0;0;17;10;1;0;0;0;7;0;3;0;0;1;4;0;1;0;1;6;23;5
CALDAS;ARANZAZU;0;0;PUESTO CABECERA MUNICIPAL;19;;;URBANO;0;2;29;0;0;2;2;6;14;0;0;1;2;1;9;2;0;0;1;6;29;3;3;19;2;3;0;8;0;0;0;17;4;0;0;0;1;1;0;0;0;2;0;1;1;0;0;0;9;19;6
CALDAS;ARANZAZU;0;0;PUESTO CABECERA MUNICIPAL;20;;;URBANO;2;0;23;0;1;0;1;1;14;0;3;0;0;1;11;2;1;1;1;6;21;2;0;9;3;4;1;8;0;0;2;21;10;0;0;0;1;3;0;0;0;0;0;6;0;0;0;0;8;18;1
CALDAS;ARANZAZU;0;0;PUESTO CABECERA MUNICIPAL;21;;;URBANO;0;0;24;0;0;2;0;3;5;1;3;3;0;0;10;0;0;0;0;0;10;5;2;3;1;1;0;3;0;0;0;25;2;0;0;0;0;5;1;0;1;1;1;3;0;2;0;0;11;4;1
CALDAS;ARANZAZU;0;0;PUESTO CABECERA MUNICIPAL;22;;;URBANO;0;1;29;1;1;0;0;1;5;1;1;0;2;1;16;0;1;1;0;1;12;2;1;7;1;0;0;3;1;0;0;12;2;1;0;0;2;4;1;1;0;0;0;5;0;0;0;0;5;14;1
CALDAS;ARANZAZU;0;0;PUESTO CABECERA MUNICIPAL;23;;;URBANO;0;0;28;0;0;1;1;1;11;0;2;1;1;0;6;0;1;0;0;0;16;2;1;5;0;3;0;4;0;0;0;22;1;0;0;1;0;2;0;1;0;1;0;7;0;0;0;0;9;6;1
CALDAS;ARANZAZU;0;0;PUESTO CABECERA MUNICIPAL;24;;;URBANO;0;2;23;0;0;0;2;0;7;0;0;0;0;0;8;0;0;1;0;2;17;3;1;11;0;3;0;6;0;0;1;11;3;0;0;0;1;4;0;0;0;0;1;0;0;0;0;0;13;6;3
CALDAS;ARANZAZU;0;0;PUESTO CABECERA MUNICIPAL;25;;;URBANO;0;0;20;1;0;1;0;3;5;0;3;0;0;0;10;0;0;1;0;0;19;1;1;8;2;0;0;6;0;1;1;12;4;1;0;0;1;3;0;0;0;0;0;4;0;0;0;0;7;9;1
CALDAS;ARANZAZU;0;0;PUESTO CABECERA MUNICIPAL;26;;;URBANO;0;0;29;0;0;1;0;3;3;0;0;0;0;0;10;0;0;0;0;1;21;2;1;7;0;2;0;4;0;1;1;10;0;0;0;0;1;3;0;0;0;0;0;2;1;1;0;0;7;9;3
CALDAS;ARANZAZU;0;0;PUESTO CABECERA MUNICIPAL;27;;;URBANO;0;0;20;1;0;1;0;1;8;0;0;0;0;1;8;1;0;1;2;0;14;1;0;4;0;2;0;0;0;0;0;10;1;0;1;0;1;1;0;0;0;1;0;1;1;1;0;0;9;7;1
CALDAS;ARANZAZU;0;0;PUESTO CABECERA MUNICIPAL;28;;;URBANO;0;1;20;0;0;0;0;1;5;0;0;0;1;1;8;2;0;0;0;2;13;1;1;4;0;3;1;5;0;0;0;19;0;0;0;0;0;2;0;0;0;0;0;2;1;2;0;0;12;3;0
CALDAS;ARANZAZU;0;0;PUESTO CABECERA MUNICIPAL;29;;;URBANO;0;0;17;0;0;1;0;2;10;0;0;1;0;1;17;1;0;0;0;0;19;1;1;12;1;1;0;3;2;0;0;12;2;0;0;0;0;5;0;0;0;0;0;2;0;0;0;0;6;6;1
